"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","학년","성별","왕복오래달리기(회)","오래달리기걷기(초)","스텝검사(PEI)","앉아윗몸앞으로굽히기(cm)","종합유연성(점)","(무릎대고)팔굽혀펴기(회)","윗몸말아올리기(회)","악력(kg)","50m달리기(초)","제자리멀리뛰기(cm)","BMI(kg/㎡)","체지방률(%fat)","인원","%","인원","%","인원","%","인원","%","인원","%","검사인원수"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000375","경기고등학교","04","공립","N","","2학년","남자","49.7","0.00","","10","","","","43.8","8","","24.5","","3",".8","83","22.4","158","42.6","110","29.6","17","4.6","371"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000375","경기고등학교","04","공립","N","","3학년","남자","39.6","0.00","","8.5","","","","36.3","8.9","","24.1","","0","0","24","6.3","130","34.1","177","46.5","50","13.1","381"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000376","경기여자고등학교","04","공립","N","","1학년","여자","30.4","0.00","","18.7","","","36","25.8","9.8","145.8","21.8","","5","1.5","105","30.9","199","58.5","30","8.8","1",".3","340"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000376","경기여자고등학교","04","공립","N","","2학년","여자","30.3","0.00","","17.7","","","","25.4","9.2","140.3","21.2","","1",".3","70","19.5","223","62.1","64","17.8","1",".3","359"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000376","경기여자고등학교","04","공립","N","","3학년","여자","23.3","0.00","","17.2","","","","26.9","","137.8","20.7","","2",".5","60","15.8","206","54.4","103","27.2","8","2.1","379"
"서울특별시교육청","서울특별시교육청","서울특별시 성북구","S010000377","경동고등학교","04","공립","N","","1학년","남자","43.4","6.32","","11.5","","","","39.8","","198.4","24.6","","2","1.2","44","25.9","65","38.2","51","30","8","4.7","170"
"서울특별시교육청","서울특별시교육청","서울특별시 성북구","S010000377","경동고등학교","04","공립","N","","2학년","남자","52.1","0.00","","13.9","","","","41.1","","212.7","24.2","","4","2.1","42","22.5","96","51.3","41","21.9","4","2.1","187"
"서울특별시교육청","서울특별시교육청","서울특별시 성북구","S010000377","경동고등학교","04","공립","N","","3학년","남자","44.5","0.00","","10.9","","","","41.8","","204.3","24.5","","3","1.8","30","17.9","61","36.3","56","33.3","18","10.7","168"
"서울특별시교육청","서울특별시교육청","서울특별시 동작구","S010000378","경문고등학교","04","사립","N","","1학년","남자","67.5","8.45","","11.4","","18.1","130","53.3","7.5","190.2","23.9","","7","3.4","40","19.5","82","40","55","26.8","21","10.2","205"
"서울특별시교육청","서울특별시교육청","서울특별시 동작구","S010000378","경문고등학교","04","사립","N","","2학년","남자","","8.47","","10","","24.3","","","","178.1","23.3","","11","5.1","27","12.6","68","31.8","75","35","33","15.4","214"
